,footprint,street_images,nstories,buildingheight,eraBuilt,garageExists
0,"[[-117.5267367, 33.8906167], [-117.5267639, 33.8907999], [-117.5268616, 33.8907899], [-117.5268579, 33.8907646], [-117.5269066, 33.8907597], [-117.5268888, 33.8906402], [-117.5268587, 33.8906432], [-117.526853, 33.8906048], [-117.5267367, 33.8906167]]",tmp/images/street/0.png,1,28.6,2000-2009,True
1,"[[-117.512319, 33.898989], [-117.512447, 33.899036], [-117.51239, 33.899142], [-117.512262, 33.899095], [-117.512319, 33.898989]]",tmp/images/street/1.png,1,28.0,1990-1999,False
2,"[[-117.6638896, 33.8835513], [-117.6637536, 33.8834585], [-117.6637947, 33.8834146], [-117.6637853, 33.8834064], [-117.6638188, 33.8833748], [-117.6639272, 33.8834511], [-117.6639124, 33.8834663], [-117.6639473, 33.8834917], [-117.6638896, 33.8835513]]",,,,N/A,
3,"[[-117.5297784, 33.8937871], [-117.5298173, 33.8939028], [-117.529999, 33.8938607], [-117.5299601, 33.893745], [-117.5297784, 33.8937871]]",tmp/images/street/3.png,2,75.7,Pre-1970,True
4,"[[-117.523196, 33.89578], [-117.523331, 33.895659], [-117.523625, 33.895883], [-117.52349, 33.896005], [-117.523196, 33.89578]]",tmp/images/street/4.png,3,101.7,1980-1989,False
5,"[[-117.522444, 33.896937], [-117.522602, 33.89716], [-117.522453, 33.897233], [-117.522294, 33.89701], [-117.522444, 33.896937]]",tmp/images/street/5.png,1,33.6,2000-2009,True
6,"[[-117.516527, 33.898292], [-117.516573, 33.898281], [-117.516558, 33.898234], [-117.516727, 33.898195], [-117.516764, 33.898306], [-117.516548, 33.898355], [-117.516527, 33.898292]]",tmp/images/street/6.png,3,56.1,Pre-1970,True
7,"[[-117.5388303, 33.8965863], [-117.538816, 33.8965034], [-117.5388354, 33.8965011], [-117.538826, 33.8964466], [-117.538683, 33.8964636], [-117.5387067, 33.896601], [-117.5388303, 33.8965863]]",tmp/images/street/7.png,2,57.4,Pre-1970,True
8,"[[-117.5371734, 33.8868439], [-117.537154, 33.8869018], [-117.5371824, 33.8869083], [-117.537165, 33.88696], [-117.5372437, 33.8869781], [-117.5372468, 33.8869688], [-117.5373175, 33.8869852], [-117.5373511, 33.8868849], [-117.5371734, 33.8868439]]",tmp/images/street/8.png,2,66.1,Pre-1970,True
9,"[[-117.507533, 33.899965], [-117.507502, 33.899991], [-117.507392, 33.899902], [-117.50749, 33.899819], [-117.507634, 33.899936], [-117.507567, 33.899993], [-117.507533, 33.899965]]",tmp/images/street/9.png,1,24.1,Pre-1970,True
